File,File_gb,Title,Genre,TMDB ID,Year,Length,TMDB Link,Description,Rating,Toloka Link,Rutracker Link,Poster,Trailer
Werk Ohne Autor (2018).mkv,9.36,Never Look Away,"['Drama', 'Romance', 'History']",423612,2018,189,https://www.themoviedb.org/movie/423612,"German artist Kurt Barnert has escaped East Germany and now lives in West Germany, but is tormented by his childhood under the Nazis and the GDR regime.",7.784,https://toloka.to/tracker.php?nm=Never Look Away,https://rutracker.org/forum/tracker.php?nm=Never Look Away,https://image.tmdb.org/t/p/w200/fn0Tp9SG0IQ3Nx8iHPYPiseLMWd.jpg,https://www.youtube.com/watch?v=gCEYXnDNcrg
G:/Movies\2019\Booksmart (2019).mkv,9.26,Booksmart,['Comedy'],505600,2019,102,https://www.themoviedb.org/movie/505600,"Two academic teenage superstars realize, on the eve of their high school graduation, that they should have worked less and played more. Determined to never fall short of their peers, the girls set out on a mission to cram four years of fun into one night.",7.033,https://toloka.to/tracker.php?nm=Booksmart,https://rutracker.org/forum/tracker.php?nm=Booksmart,https://image.tmdb.org/t/p/w200/micaVOa1UZsdzs4fKGA67ZMGOzc.jpg,https://www.youtube.com/watch?v=noAtmtxgJYw
G:/Movies\2019\Bruno (2019).mkv,1.29,Brüno,['Comedy'],18480,2019,83,https://www.themoviedb.org/movie/18480,Flamboyantly gay Austrian television reporter Bruno stirs up trouble with unsuspecting guests and large crowds through brutally frank interviews and painfully hilarious public displays of homosexuality.,5.623,https://toloka.to/tracker.php?nm=Brüno,https://rutracker.org/forum/tracker.php?nm=Brüno,https://image.tmdb.org/t/p/w200/wcUc7TYtsb72dHVb51sYaGIvQsr.jpg,https://www.youtube.com/watch?v=pxyJ_ZQVhTI
G:/Movies\2019\Luce (2019).mkv,7.06,Luce,"['Drama', 'Thriller']",492616,2019,109,https://www.themoviedb.org/movie/492616,"A star athlete and top student, Luce's idealized image is challenged by one of his teachers when his unsettling views on political violence come to light, putting a strain on family bonds while igniting intense debates on race and identity.",6.357,https://toloka.to/tracker.php?nm=Luce,https://rutracker.org/forum/tracker.php?nm=Luce,https://image.tmdb.org/t/p/w200/uxig1ZvVddzXVRYNOAQ6hKtea80.jpg,https://www.youtube.com/watch?v=aqzgDB1CMI4
G:/Movies\2019\Murder Mystery (2019).mkv,3.85,Murder Mystery,"['Action', 'Comedy', 'Mystery']",514999,2019,97,https://www.themoviedb.org/movie/514999,"On a long-awaited trip to Europe, a New York City cop and his hairdresser wife scramble to solve a baffling murder aboard a billionaire's yacht.",6.279,https://toloka.to/tracker.php?nm=Murder Mystery,https://rutracker.org/forum/tracker.php?nm=Murder Mystery,https://image.tmdb.org/t/p/w200/bSMSO9xupd4R4vwTPqigHn2quLN.jpg,https://www.youtube.com/watch?v=5YEVQDr2f3Q
G:/Movies\2019\Psychobitch (2019).mkv,1.92,Psychobitch,['Drama'],572292,2019,109,https://www.themoviedb.org/movie/572292,"Frida is different. Self chosen different. Marius, on the other hand is the most perfect boy in class, and likes to show off. When they have to work together at school, it's the start of a turbulent and challenging relationship. Generation Achievement meets impossible love.",6.638,https://toloka.to/tracker.php?nm=Psychobitch,https://rutracker.org/forum/tracker.php?nm=Psychobitch,https://image.tmdb.org/t/p/w200/9cZcWIEbmVgjqjeLsMDX5XplaUk.jpg,https://www.youtube.com/watch?v=ewukVKkmC1c
G:/Movies\2019\The Last Vermeer (2019).avi,1.46,The Last Vermeer,['Drama'],622977,2019,118,https://www.themoviedb.org/movie/622977,"A soldier and member of the Dutch resistance investigates stolen art in the wake of the Second World War, including a Vermeer sold to the Nazis by a flamboyant forger.",6.552,https://toloka.to/tracker.php?nm=The Last Vermeer,https://rutracker.org/forum/tracker.php?nm=The Last Vermeer,https://image.tmdb.org/t/p/w200/7CKxIyEIdHgkQzDixn68Hvwua90.jpg,https://www.youtube.com/watch?v=-0FU8z_1Arc
G:/Movies\2019\The Lighthouse (2019).mkv,10.62,The Lighthouse,"['Drama', 'Fantasy', 'Thriller']",503919,2019,109,https://www.themoviedb.org/movie/503919,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.,7.513,https://toloka.to/tracker.php?nm=The Lighthouse,https://rutracker.org/forum/tracker.php?nm=The Lighthouse,https://image.tmdb.org/t/p/w200/3nk9UoepYmv1G9oP18q6JJCeYwN.jpg,https://www.youtube.com/watch?v=42_UHhpq530
G:/Movies\2019\The Poison Rose (2019).mkv,1.68,The Poison Rose,"['Thriller', 'Crime']",529983,2019,98,https://www.themoviedb.org/movie/529983,"A down-on-his-luck PI is hired by his old flame to investigate a murder. But while the case at first appears routine, it slowly reveals itself to be a complex interwoven web of crimes, suspects and dead bodies.",4.614,https://toloka.to/tracker.php?nm=The Poison Rose,https://rutracker.org/forum/tracker.php?nm=The Poison Rose,https://image.tmdb.org/t/p/w200/gSzyUmg719TgAxarFZYWjLLMqvS.jpg,https://www.youtube.com/watch?v=a-EiwzB_DBg
G:/Movies\2019\Togo (2019).avi,1.91,Togo,"['Adventure', 'Family']",606856,2019,113,https://www.themoviedb.org/movie/606856,"The untold true story set in the winter of 1925 that takes you across the treacherous terrain of the Alaskan tundra for an exhilarating and uplifting adventure that will test the strength, courage and determination of one man, Leonhard Seppala, and his lead sled dog, Togo.",8.152,https://toloka.to/tracker.php?nm=Togo,https://rutracker.org/forum/tracker.php?nm=Togo,https://image.tmdb.org/t/p/w200/wX0QD36a80hxulcizz7tyahYOF8.jpg,https://www.youtube.com/watch?v=HMfyueM-ZBQ
